No,Date,Hourly,S1,S2,S3,S4,WL01,WL02,WL03,WL04,WL05,WL06,WL07,WL08,WL09,WL10,WL11,WL12,WL13,WL14,WL15,WL16,WL17,WL18,WL19,WL20,WL21,WL22,WL23,WL24,Q02,Q04,Q05
422.0,2/5/15 3:00 AM,3,8.1,4.1,1.8,1.2,70,68,54,65,62,35,44,136,139,-54,135,136,49,42,43,75,76,178,150,31,83,110,111,151,6520,-3100,-1000
423.0,2/5/15 5:00 AM,5,9.1,4.9,1.0,2.3,80,73,100,127,115,32,41,53,65,23,118,53,53,48,52,135,72,118,138,37,111,140,136,112,4340,-9630,-6630
424.0,2/5/15 7:00 AM,7,8.0,4.5,9.2,4.1,138,127,139,147,146,31,41,-46,-39,103,30,-44,39,50,41,139,76,-2,30,45,93,105,87,5,630,-2240,0
425.0,2/5/15 9:00 AM,9,6.5,3.2,8.1,3.3,152,141,130,108,136,37,45,-120,-116,109,-48,-115,19,48,24,90,83,-80,-66,50,38,28,16,-80,1540,13800,11500
426.0,2/5/15 11:00 AM,11,5.7,1.6,6.5,1.5,106,107,83,54,88,41,51,-83,-112,38,-105,-101,1,43,2,43,86,-125,-120,49,1,-20,-41,-121,6630,15100,15000
427.0,2/5/15 1:00 PM,13,5.3,0.5,7.8,0.3,73,75,44,13,49,40,53,50,28,-21,-40,29,-3,41,-8,-3,82,-12,-98,44,-30,-57,-85,-10,7810,13800,14300
428.0,2/5/15 3:00 PM,15,6.3,1.6,8.8,0.3,42,47,14,-21,14,33,45,121,108,-64,66,115,13,38,3,-35,75,130,83,37,4,-22,14,97,8660,2980,2370
429.0,2/5/15 5:00 PM,17,8.3,3.7,1.7,1.7,17,23,6,50,9,23,35,122,120,26,118,119,22,33,19,74,65,164,146,31,77,100,99,137,8950,-13700,-10300
430.0,2/5/15 7:00 PM,19,1.8,4.9,9.4,4.4,84,70,101,124,107,16,28,63,64,106,107,60,7,32,9,119,59,93,114,30,99,124,122,96,1860,-10800,-10600
431.0,2/5/15 9:00 PM,21,9.1,3.9,8.3,4.0,132,121,128,133,135,26,30,30,13,126,47,24,-3,31,-10,127,65,26,24,35,79,90,82,33,-1390,-1180,-1980
432.0,2/5/15 11:00 PM,23,7.0,3.3,7.7,2.1,142,132,119,97,126,33,37,39,23,66,8,40,13,33,6,91,76,24,-8,35,37,32,32,15,1140,10400,6720
433.0,2/6/15 1:00 AM,1,6.5,2.6,9.3,0.9,101,102,82,59,86,39,44,111,99,4,51,108,11,36,5,58,82,108,52,32,22,18,12,86,5380,10800,9950
434.0,2/6/15 3:00 AM,3,8.5,3.5,11.0,1.7,74,73,56,50,61,39,48,142,143,-41,122,140,26,37,16,50,79,174,137,32,68,84,84,146,6820,-3720,330
435.0,2/6/15 5:00 AM,5,1.1,4.5,1.2,2.3,66,61,75,111,87,35,44,93,98,-47,137,90,46,40,42,119,74,156,157,33,106,138,133,137,6270,-10300,-8500
436.0,2/6/15 7:00 AM,7,9.0,4.8,1.0,3.3,124,110,132,147,139,31,41,-8,-3,56,69,-9,43,45,45,143,75,40,70,38,106,126,115,45,1130,-7130,-3190
437.0,2/6/15 9:00 AM,9,7.7,3.4,8.2,3.7,152,140,140,128,146,37,44,-92,-83,93,-20,-89,23,47,24,110,81,-50,-34,46,56,52,37,-47,-768,9130,7200
438.0,2/6/15 11:00 AM,11,6.2,2.1,6.8,2.1,124,118,99,70,102,42,49,-106,-113,58,-83,-107,5,43,7,59,87,-102,-100,49,15,-4,-22,-103,4410,14800,13600
439.0,2/6/15 1:00 PM,13,5.2,0.9,8.9,0.4,82,81,60,29,63,43,54,15,-13,-5,-76,5,1,41,-8,15,84,-54,-104,46,-17,-42,-67,-48,7320,14500,14600
440.0,2/6/15 3:00 PM,15,7.3,1.8,9.2,0.2,52,55,28,-8,27,38,50,109,95,-45,52,99,23,38,13,-22,78,110,47,40,-23,-40,-31,73,8050,9390,4620
441.0,2/6/15 5:00 PM,17,1.7,3.8,1.2,1.0,26,32,-1,15,6,28,40,125,120,-14,111,120,27,37,25,42,70,159,138,33,64,82,85,132,8350,-9970,-6600
442.0,2/6/15 7:00 PM,19,11.1,4.6,9.0,3.1,55,44,82,110,95,20,31,66,70,80,108,61,9,35,11,113,62,107,120,32,96,121,119,103,4150,-11800,-11300
443.0,2/6/15 9:00 PM,21,8.1,3.7,7.5,3.6,125,111,124,131,131,26,30,15,8,113,48,12,0,33,-6,125,66,28,32,39,84,98,83,30,-1010,-3400,-2970
444.0,2/6/15 11:00 PM,23,7.3,2.7,6.3,2.1,140,129,118,104,128,34,37,8,-7,79,-5,5,15,34,8,93,75,2,-20,38,39,34,26,-7,0,9940,6360
445.0,2/7/15 1:00 AM,1,6.0,1.5,7.4,0.9,105,102,78,59,86,40,44,88,73,12,19,82,21,37,13,54,81,68,15,35,15,8,-4,47,5250,11800,10800
446.0,2/7/15 3:00 AM,3,6.9,3.0,8.3,0.8,73,70,51,38,58,40,48,132,127,-39,98,130,27,40,19,32,80,154,113,34,47,48,57,122,6700,2150,2430
447.0,2/7/15 5:00 AM,5,1.0,3.7,9.6,1.7,56,54,56,84,64,36,45,108,116,-75,133,108,45,42,37,97,74,162,153,34,93,121,119,140,7080,-9740,-7730
448.0,2/7/15 7:00 AM,7,9.5,4.4,7.5,2.1,105,85,119,136,128,30,39,16,23,-18,87,16,45,46,49,136,71,69,94,38,106,130,123,66,1980,-9570,-6420
449.0,2/7/15 9:00 AM,9,8.6,3.3,6.6,2.3,144,130,137,135,144,35,41,-72,-66,51,-3,-68,18,48,22,123,76,-30,-16,45,67,70,54,-30,-762,5680,3890
450.0,2/7/15 11:00 AM,11,6.3,2.3,5.8,2.5,134,124,104,80,110,41,46,-107,-108,66,-69,-104,1,44,2,70,84,-91,-90,49,21,8,-9,-92,3150,14900,12500
451.0,2/7/15 1:00 PM,13,4.8,1.4,7.1,0.4,87,84,64,36,69,43,51,0,-29,23,-84,-8,-8,42,-13,25,85,-72,-107,45,-12,-34,-57,-67,7440,15300,14900
452.0,2/7/15 3:00 PM,15,6.4,0.8,9.0,0.2,57,54,31,-2,33,39,50,93,78,-12,37,83,6,38,-8,-15,80,94,32,40,-29,-51,-49,57,8050,11300,9580
453.0,2/7/15 5:00 PM,17,9.8,3.0,1.0,1.0,29,31,2,1,8,30,41,128,121,-6,105,123,31,36,23,24,72,160,132,34,55,64,77,124,8350,-8020,-6070
454.0,2/7/15 7:00 PM,19,1.2,4.0,9.2,3.3,39,35,72,100,86,20,32,74,76,62,111,67,25,37,24,106,64,118,128,28,93,120,118,109,5200,-13000,-9070
455.0,2/7/15 9:00 PM,21,8.0,3.5,6.8,3.7,119,102,120,131,128,24,29,13,0,96,51,3,8,38,5,125,65,26,38,35,90,105,95,30,625,-5500,-4650
456.0,2/7/15 11:00 PM,23,6.8,2.6,6.0,2.5,139,128,122,110,133,33,36,-19,-32,88,-13,-23,11,38,5,99,74,-21,-32,41,41,36,29,-24,-630,10600,6200
457.0,2/8/15 1:00 AM,1,5.5,1.6,6.5,0.8,109,104,80,59,88,39,43,50,25,32,-22,41,12,39,7,55,82,10,-33,38,10,-2,-12,-1,5130,12100,12300
458.0,2/8/15 3:00 AM,3,7.8,1.3,7.6,0.4,74,69,48,29,55,41,48,111,104,-25,69,106,15,41,6,23,81,122,73,36,8,1,4,88,6570,9120,6160
459.0,2/8/15 5:00 AM,5,8.9,2.7,8.4,1.1,50,48,31,43,39,36,45,120,118,-73,116,116,23,40,15,56,76,158,140,34,73,92,97,130,7320,-6630,-6310
460.0,2/8/15 7:00 AM,7,9.4,3.7,6.4,1.3,69,61,94,116,107,28,37,45,47,-84,101,38,33,38,30,119,69,87,106,33,99,123,121,87,4550,-9570,-8400
461.0,2/8/15 9:00 AM,9,8.8,2.9,5.9,2.7,129,113,126,132,134,31,35,-37,-45,0,19,-40,16,40,15,127,71,-7,4,36,75,82,72,-8,-252,-338,0
462.0,2/8/15 11:00 AM,11,5.9,1.7,5.5,1.9,139,130,112,91,119,37,40,-95,-97,46,-49,-86,3,36,1,82,79,-74,-74,41,27,17,5,-74,0,13200,11500
463.0,2/8/15 1:00 PM,13,4.6,1.0,6.6,0.4,93,93,69,42,75,41,45,-22,-51,52,-86,-29,-9,35,-13,35,82,-88,-110,39,-8,-27,-46,-89,6130,14800,14600
464.0,2/8/15 3:00 PM,15,6.2,0.4,7.7,0.2,62,60,35,4,39,38,46,82,66,35,18,72,-4,34,-15,-6,79,58,-6,35,-32,-54,-65,34,7630,11600,15100
465.0,2/8/15 5:00 PM,17,9.0,2.2,8.4,1.2,33,34,6,-14,10,30,40,134,124,23,97,128,17,30,7,-5,72,150,117,29,40,40,63,119,7990,-4760,3590
466.0,2/8/15 7:00 PM,19,1.6,3.2,9.9,2.3,20,26,48,84,62,20,30,100,97,48,120,96,24,29,21,97,63,138,140,24,87,113,118,124,7260,-14500,-11600
467.0,2/8/15 9:00 PM,21,8.9,3.5,7.2,3.0,109,92,113,129,121,18,25,42,27,81,73,35,4,30,0,124,61,55,71,27,95,116,111,56,1880,-8480,-7010
468.0,2/8/15 11:00 PM,23,7.2,2.7,5.8,2.6,136,125,128,121,135,30,31,0,-19,90,12,-7,7,30,-3,114,69,-2,-7,34,55,60,53,-3,-756,6970,2590
469.0,2/9/15 1:00 AM,1,6.1,1.6,6.1,1.0,125,120,94,73,99,36,39,20,4,55,-19,21,4,32,-3,70,78,-7,-40,33,20,12,8,-16,3020,13000,10600
470.0,2/9/15 3:00 AM,3,7.0,0.8,7.1,0.5,82,81,60,39,66,39,44,97,86,2,50,96,9,33,-1,37,81,90,34,31,3,-6,-9,65,5830,10000,6080
471.0,2/9/15 5:00 AM,5,8.8,1.9,7.6,0.5,58,56,35,28,41,36,45,122,120,-53,112,123,20,34,11,32,77,151,117,29,55,60,77,124,7080,-2820,-2130
472.0,2/9/15 7:00 AM,7,1.0,3.1,6.3,1.8,50,48,72,96,75,29,38,71,77,-94,113,70,33,34,25,108,70,114,124,27,90,117,120,110,6220,-10700,-8740
473.0,2/9/15 9:00 AM,9,8.3,2.8,5.9,1.9,114,100,119,129,124,25,32,-12,-7,-57,44,-12,23,37,24,128,69,30,45,30,87,102,94,27,-500,-3780,-3820
474.0,2/9/15 11:00 AM,11,7.2,1.8,5.4,2.0,136,125,121,105,127,30,37,-72,-71,25,-31,-67,-2,37,-1,97,75,-41,-37,38,42,40,25,-45,882,9840,6360
475.0,2/9/15 1:00 PM,13,5.6,1.0,5.0,1.2,107,105,80,57,83,34,42,-35,-55,62,-72,-35,-16,34,-21,47,82,-69,-86,40,7,-7,-28,-76,5250,14000,12800
476.0,2/9/15 3:00 PM,15,6.3,0.5,5.6,0.5,71,69,46,18,49,34,46,66,50,72,12,58,-9,32,-25,8,79,36,-30,35,-20,-38,-57,19,7320,11600,13500
477.0,2/9/15 5:00 PM,17,8.7,1.9,7.7,0.2,42,42,17,-6,18,30,41,134,119,63,97,125,21,30,9,-10,72,138,94,28,27,25,47,107,7690,2110,-2250
478.0,2/9/15 7:00 PM,19,1.3,2.9,9.2,2.0,23,26,33,67,40,21,32,119,115,49,125,111,39,29,32,88,64,154,148,22,80,110,112,135,7620,-11500,-10100
479.0,2/9/15 9:00 PM,21,9.2,3.3,7.8,2.4,95,86,106,128,114,15,26,60,44,60,96,48,31,34,31,124,60,88,100,25,99,126,121,80,1240,-9920,-8900
480.0,2/9/15 11:00 PM,23,8.1,2.8,6.4,2.8,134,123,130,130,135,27,31,6,-13,80,30,-4,21,37,21,125,67,12,17,37,72,80,70,10,-1010,-336,0
481.0,2/10/15 1:00 AM,1,6.0,2.0,5.3,1.3,137,127,110,88,113,35,39,-3,-15,71,-14,-1,5,37,6,84,78,-19,-37,42,30,23,19,-22,1640,14100,9160
482.0,2/10/15 3:00 AM,3,5.4,1.1,5.6,1.0,94,92,72,48,74,40,46,47,50,25,10,46,10,37,4,46,83,36,-14,42,6,-4,-11,22,5130,12100,10500
483.0,2/10/15 5:00 AM,5,6.3,1.3,6.2,0.4,66,63,41,23,44,39,49,86,89,-34,68,85,19,37,12,23,79,112,71,38,26,25,27,79,6890,4860,4610
484.0,2/10/15 7:00 AM,7,7.0,1.5,6.5,0.6,46,45,38,56,43,33,42,71,76,-90,91,64,32,37,26,67,72,114,108,33,70,89,83,92,7200,-6590,-2970
485.0,2/10/15 9:00 AM,9,6.2,1.7,6.1,1.0,77,65,91,107,95,25,34,5,9,-119,42,-4,34,39,32,104,66,46,58,33,81,97,86,36,3940,-5950,-4130
486.0,2/10/15 11:00 AM,11,5.7,2.0,5.0,1.2,115,103,106,103,112,27,34,-53,-54,-22,-32,-57,17,41,23,92,69,-21,-21,38,47,47,29,-36,-250,6930,3020
487.0,2/10/15 1:00 PM,13,4.8,1.1,4.8,1.2,103,97,77,57,81,31,38,-42,-56,52,-74,-47,-1,38,-2,45,75,-56,-74,43,10,-4,-27,-68,4500,14000,11600
488.0,2/10/15 3:00 PM,15,3.2,0.5,5.1,0.9,66,66,43,17,46,32,42,45,24,81,-10,34,-3,36,-9,5,74,10,-44,42,-18,-36,-59,-5,6890,12700,12800
489.0,2/10/15 5:00 PM,17,4.3,0.9,6.0,0.4,39,40,16,-8,17,28,39,110,100,74,77,101,11,33,2,-16,68,119,73,35,8,2,18,82,7690,3040,316
490.0,2/10/15 7:00 PM,19,7.8,2.7,6.4,0.6,18,20,8,46,19,20,30,119,114,44,114,108,28,30,23,68,60,151,134,29,67,88,93,125,7620,-11500,-9960
491.0,2/10/15 9:00 PM,21,9.5,3.1,5.3,0.8,77,65,90,113,98,13,23,65,58,34,97,52,26,31,25,113,54,86,108,28,92,119,115,91,1850,-10900,-9580
492.0,2/10/15 11:00 PM,23,7.9,2.7,4.5,2.3,122,111,119,125,126,24,27,5,-5,64,32,-10,21,35,18,119,60,17,30,35,76,87,77,15,-1130,-1010,-1640
493.0,2/11/15 1:00 AM,1,5.9,2.2,4.1,1.3,132,120,114,93,115,31,34,-33,-46,87,-26,-38,11,37,11,84,70,-33,-35,39,34,27,17,-36,-630,10700,9800
494.0,2/11/15 3:00 AM,3,3.0,1.4,4.8,0.9,92,88,74,49,74,37,41,5,-11,58,-39,0,7,37,2,41,77,-20,-66,39,3,-10,-24,-36,4220,13400,12700
495.0,2/11/15 5:00 AM,5,4.0,1.1,5.0,0.5,62,59,41,15,40,37,45,52,48,1,26,50,10,38,3,8,75,72,17,37,-14,-23,-29,34,6640,8740,8780
496.0,2/11/15 7:00 AM,7,5.2,1.3,5.6,0.4,36,38,17,9,19,31,40,73,72,-60,69,66,16,35,8,18,69,103,80,33,43,48,46,74,7140,-1980,322
497.0,2/11/15 9:00 AM,9,5.7,1.5,4.7,0.4,35,32,58,75,56,21,30,28,31,-102,64,22,18,30,15,77,59,62,68,30,67,83,77,57,5930,-8110,-5080
498.0,2/11/15 11:00 AM,11,4.5,1.3,4.6,0.9,90,78,91,95,95,19,25,-24,-24,-66,2,-28,1,29,-1,93,57,2,9,30,55,59,50,-3,620,-332,-1130
499.0,2/11/15 1:00 PM,13,3.3,1.0,3.1,1.6,103,94,76,67,89,26,29,-37,-45,41,-52,-43,-15,28,-21,59,63,-33,-45,32,18,10,-8,-46,1750,8960,8270
500.0,2/11/15 3:00 PM,15,5.0,0.6,4.8,0.7,72,67,42,28,53,28,32,27,6,89,-31,13,-14,27,-24,17,66,-18,-54,31,-9,-22,-46,-23,6270,12100,12000
501.0,2/11/15 5:00 PM,17,5.4,1.3,5.1,0.6,43,40,16,0,24,25,33,90,76,96,53,79,-2,25,-10,-9,61,68,34,25,-10,-18,-13,57,7320,6590,5300
502.0,2/11/15 7:00 PM,19,5.9,2.5,5.6,0.6,21,21,3,14,10,17,27,110,107,68,101,101,15,22,5,38,55,140,112,19,52,64,72,111,7020,-5850,-5740
503.0,2/11/15 9:00 PM,21,6.7,3.3,4.8,0.8,40,36,70,93,76,9,19,68,71,42,97,59,25,22,19,99,47,110,113,16,81,107,105,98,3870,-11900,-9350
504.0,2/11/15 11:00 PM,23,5.0,2.8,4.7,1.1,106,94,106,117,113,14,17,10,-3,59,40,-5,18,28,18,112,52,32,45,25,79,96,81,25,-1130,-5270,-3280
505.0,2/12/15 1:00 AM,1,3.4,2.1,3.5,2.1,125,113,109,99,118,22,25,-43,-52,99,-23,-50,11,30,9,89,61,-28,-24,32,38,35,20,-37,-1130,7660,6160
506.0,2/12/15 3:00 AM,3,2.3,1.6,2.7,1.9,98,88,69,50,77,28,32,-48,-62,105,-66,-52,-3,31,-6,43,70,-59,-76,36,3,-9,-28,-73,4090,14200,12500
507.0,2/12/15 5:00 AM,5,3.0,1.1,3.8,1.6,62,55,35,12,41,30,37,6,-11,54,-37,0,-10,31,-15,6,69,-6,-59,34,-24,-41,-60,-24,6470,12000,12200
508.0,2/12/15 7:00 AM,7,4.2,1.0,4.6,0.9,35,33,6,-14,12,26,35,45,40,-9,26,42,-3,28,-14,-21,64,64,26,29,-7,-15,-16,33,7260,5180,5150
509.0,2/12/15 9:00 AM,9,5.3,1.2,5.1,1.3,13,16,0,20,6,15,25,49,45,-56,55,41,10,22,3,30,54,73,58,21,40,45,47,54,7080,-4760,-3540
510.0,2/12/15 11:00 AM,11,5.6,1.4,4.0,1.7,41,29,56,69,60,7,16,17,9,-75,40,10,-6,19,-6,72,46,35,32,18,51,61,61,31,4110,-5180,-4540
511.0,2/12/15 1:00 PM,13,5.4,1.2,3.1,1.9,82,71,76,73,82,13,15,3,-6,32,-1,-4,-25,18,-29,71,47,9,-3,21,32,34,28,-2,1740,3420,1750
512.0,2/12/15 3:00 PM,15,5.0,1.1,2.7,1.2,82,74,56,47,66,16,18,28,11,100,-9,20,-29,17,-41,40,54,13,-13,20,10,7,-5,0,3100,6880,6710
513.0,2/12/15 5:00 PM,17,6.2,1.3,3.4,0.9,55,50,33,26,41,16,21,79,65,118,39,70,-13,15,-23,19,54,75,27,16,6,6,-1,50,6100,7200,6280
514.0,2/12/15 7:00 PM,19,7.0,1.9,3.8,0.9,36,33,23,27,29,14,22,110,101,90,90,98,3,14,-9,37,51,132,90,8,43,51,61,101,6660,-2320,-2750
515.0,2/12/15 9:00 PM,21,8.6,2.4,4.9,1.8,40,35,57,77,58,8,16,95,95,50,105,88,20,16,11,92,45,135,114,6,71,96,99,111,4600,-8330,-6810
516.0,2/12/15 11:00 PM,23,7.1,2.8,4.1,2.0,93,78,97,113,103,8,14,42,37,61,79,28,30,23,27,110,48,70,81,15,83,108,101,60,620,-6710,-6310
517.0,2/13/15 1:00 AM,1,5.2,2.5,3.3,2.2,119,106,112,114,120,14,18,-16,-24,102,16,-25,21,31,21,104,56,5,12,29,60,68,56,-2,-1380,5180,1460
518.0,2/13/15 3:00 AM,3,3.1,2.2,2.5,2.3,116,105,89,73,97,22,25,-51,-61,122,-40,-57,5,33,6,63,65,-38,-45,36,22,15,2,-51,2000,11300,9480
519.0,2/13/15 5:00 AM,5,4.6,1.9,3.2,1.9,76,68,53,33,59,26,31,-22,-37,84,-66,-25,-2,32,-6,25,70,-36,-74,38,-10,-25,-41,-53,5660,12200,11900
520.0,2/13/15 7:00 AM,7,5.0,1.4,3.9,1.2,49,43,24,-1,26,25,34,28,16,18,-9,26,3,32,-4,-10,66,35,-20,33,-28,-41,-49,4,6590,9700,9420
521.0,2/13/15 9:00 AM,9,6.8,1.1,4.5,1.1,22,21,-3,-11,4,18,27,58,52,-38,48,51,17,28,7,-3,58,75,44,27,15,15,19,49,6900,2090,316
522.0,2/13/15 11:00 AM,11,8.2,1.9,4.2,1.3,13,13,15,41,26,7,17,55,50,-74,63,49,17,24,15,58,48,71,59,22,44,57,62,62,6360,-5810,-5710
523.0,2/13/15 1:00 PM,13,7.9,2.5,3.4,1.8,59,47,66,76,73,4,10,38,32,10,51,32,-4,23,-7,81,43,52,40,23,52,62,65,45,1220,-3670,-2610
524.0,2/13/15 3:00 PM,15,6.5,2.3,3.0,2.3,89,78,79,79,86,13,15,40,25,92,27,30,-14,19,-19,75,47,37,23,28,42,47,41,30,1120,-330,0
525.0,2/13/15 5:00 PM,17,6.0,2.1,3.3,2.3,87,78,67,64,76,16,19,62,52,121,31,57,-10,17,-17,57,55,68,31,25,32,33,25,45,3220,4890,3500
526.0,2/13/15 7:00 PM,19,8.9,2.7,4.0,2.1,69,61,53,52,60,17,22,91,87,98,70,87,6,16,-4,49,58,112,74,21,43,50,45,81,5410,3300,322
527.0,2/13/15 9:00 PM,21,9.4,3.7,4.7,2.0,57,50,54,68,57,17,24,98,94,49,96,91,28,18,15,77,55,133,105,17,67,88,84,100,5120,-3550,-3800
528.0,2/13/15 11:00 PM,23,1.0,4.3,3.8,2.1,76,66,86,103,90,15,24,60,45,37,90,50,47,26,43,105,57,90,92,20,82,105,99,81,2710,-5850,-5810
529.0,2/14/15 1:00 AM,1,1.9,2.8,3.1,2.4,111,97,106,115,113,17,25,3,-11,93,34,-11,36,34,34,107,62,26,31,34,72,80,73,17,625,-336,-984
530.0,2/14/15 3:00 AM,3,7.8,2.3,2.7,2.6,119,107,99,88,106,22,29,-52,-65,131,-28,-63,15,38,15,75,69,-31,-33,43,35,28,17,-45,-750,10700,8060
531.0,2/14/15 5:00 AM,5,6.0,2.1,2.4,1.7,88,81,62,45,68,27,35,-72,-86,112,-75,-77,1,36,-1,33,74,-69,-84,44,1,-17,-33,-87,4220,12700,12800
532.0,2/14/15 7:00 AM,7,4.6,1.4,3.0,1.4,57,51,32,7,35,28,38,-26,-41,42,-75,-29,-7,34,-15,-7,70,-42,-92,39,-31,-52,-72,-60,6340,13000,12000
533.0,2/14/15 9:00 AM,9,5.7,1.1,4.2,1.4,29,26,-2,-25,5,22,31,27,18,-19,1,24,5,29,-6,-37,63,40,-12,32,-38,-54,-54,8,7260,8110,7140
534.0,2/14/15 11:00 AM,11,6.8,1.5,4.8,1.7,5,5,-21,-19,-13,12,20,61,53,-64,49,53,5,23,3,3,52,78,48,24,23,20,26,55,7440,-4510,-1270
535.0,2/14/15 1:00 PM,13,8.4,1.8,4.4,2.2,7,8,24,50,37,3,12,61,59,-12,63,54,-9,17,-13,63,43,78,65,20,49,62,64,69,5520,-8180,-6520
536.0,2/14/15 3:00 PM,15,8.1,3.3,3.6,2.5,68,55,69,80,77,4,7,46,38,89,54,41,-22,12,-27,81,41,57,49,21,56,70,67,51,1220,-5850,-4590
537.0,2/14/15 5:00 PM,17,7.9,3.2,3.2,2.5,94,82,84,87,93,12,14,45,36,130,32,39,-25,11,-35,81,47,55,32,19,47,53,46,38,868,-332,0
538.0,2/14/15 7:00 PM,19,8.8,3.0,3.7,2.4,96,86,75,72,83,15,17,65,60,116,37,62,-13,11,-26,65,56,80,46,16,41,46,32,53,2360,5280,2880
539.0,2/14/15 9:00 PM,21,8.9,3.2,4.4,2.2,76,66,60,63,66,16,21,81,79,66,67,80,10,13,-1,57,60,116,81,12,54,64,50,79,4670,2170,2250
540.0,2/14/15 11:00 PM,23,9.1,3.7,5.0,1.8,66,57,61,79,65,15,23,68,67,39,79,61,31,20,24,76,59,112,97,10,74,93,76,81,4760,-3740,-1800
541.0,2/15/15 1:00 AM,1,9.8,3.9,4.1,2.4,81,71,87,101,93,14,24,14,9,93,44,3,39,29,35,96,61,52,57,21,77,91,74,37,2730,-3400,-1970
542.0,2/15/15 3:00 AM,3,8.0,3.3,3.7,4.5,105,92,97,95,101,16,26,-58,-64,141,-27,-67,21,35,22,83,65,-18,-15,34,45,44,29,-34,-250,7710,5090
543.0,2/15/15 5:00 AM,5,7.6,2.8,3.4,3.2,97,86,70,50,72,20,30,-117,-120,140,-90,-120,0,35,-2,41,70,-83,-85,41,5,-12,-32,-102,3350,13700,12600
544.0,2/15/15 7:00 AM,7,4.2,2.4,3.2,1.9,61,57,34,10,38,23,33,-108,-119,72,-135,-105,-14,32,-19,-5,68,-117,-136,40,-32,-59,-86,-137,5860,14100,14300
545.0,2/15/15 9:00 AM,9,6.0,1.7,4.1,1.7,31,27,-1,-33,5,18,30,-18,-40,9,-84,-29,-19,26,-27,-50,61,-46,-115,32,-64,-95,-120,-66,6900,12100,11900
546.0,2/15/15 11:00 AM,11,8.8,2.2,6.0,3.0,-1,0,-35,-63,-28,8,19,49,38,-41,9,44,-4,18,-17,-72,51,56,3,22,-45,-64,-43,26,7680,5320,2130
547.0,2/15/15 1:00 PM,13,1.4,3.0,8.6,3.5,-25,-20,-44,-12,-34,-2,9,78,67,-40,61,71,-5,11,-7,15,41,100,73,14,32,38,42,77,7970,-10100,-8860
548.0,2/15/15 3:00 PM,15,1.2,5.7,6.5,3.9,22,18,42,69,54,-7,1,51,50,88,70,48,-25,6,-27,70,33,78,77,10,60,78,76,71,2880,-9580,-7710
549.0,2/15/15 5:00 PM,17,9.0,5.0,5.4,4.0,82,69,79,91,89,2,2,30,18,136,39,28,-36,5,-45,87,34,45,38,14,58,70,64,35,-620,-5180,-3590
550.0,2/15/15 7:00 PM,19,8.0,4.5,5.1,3.9,101,91,88,82,95,6,8,39,29,124,10,34,-27,5,-43,75,42,49,17,11,38,39,27,24,-500,4260,1270
551.0,2/15/15 9:00 PM,21,8.5,4.0,7.3,3.7,89,78,65,55,73,10,14,72,61,69,36,70,2,6,-10,47,52,90,47,6,32,34,16,61,3600,6190,5530
552.0,2/15/15 11:00 PM,23,9.0,4.3,1.0,4.3,61,51,45,53,53,10,18,85,81,28,75,82,23,12,17,46,54,124,89,3,58,70,54,91,5120,2170,324
553.0,2/16/15 1:00 AM,1,9.5,4.7,9.3,6.7,56,49,63,84,68,8,19,40,37,56,72,35,37,21,34,82,51,82,90,12,79,99,82,62,4640,-7820,-3630
554.0,2/16/15 3:00 AM,3,8.7,5.0,8.0,8.1,91,83,94,103,101,7,19,-38,-41,132,8,-41,29,28,30,98,53,6,23,27,67,74,60,-4,1610,-2860,0
555.0,2/16/15 5:00 AM,5,8.1,6.1,6.2,8.3,107,94,88,74,94,12,23,-112,-110,148,-69,-110,5,32,7,63,59,-70,-59,36,25,14,-5,-85,1630,8530,8580
556.0,2/16/15 7:00 AM,7,7.3,4.1,5.3,6.5,76,69,52,27,55,16,27,-150,-151,89,-127,-145,-13,28,-16,13,64,-124,-118,39,-17,-40,-67,-144,5080,14600,13600
557.0,2/16/15 9:00 AM,9,7.4,2.7,6.8,5.5,43,38,14,-17,19,16,29,-72,-109,19,-149,-74,-25,25,-31,-38,59,-116,-154,32,-53,-82,-115,-135,6530,13200,14900
558.0,2/16/15 11:00 AM,11,9.3,2.5,8.3,3.5,11,9,-22,-54,-17,8,22,28,25,-34,-32,18,-20,18,-37,-77,51,20,-63,23,-77,-110,-120,-16,7560,11200,9720
559.0,2/16/15 1:00 PM,13,1.0,3.9,1.9,3.0,-19,-17,-49,-67,-45,-3,12,88,80,-66,53,80,-3,10,-12,-35,41,107,53,13,7,-6,11,65,8210,-5090,-6480
560.0,2/16/15 3:00 PM,15,11.0,7.5,12.3,5.2,-29,-10,-10,39,20,-10,3,77,71,58,85,73,-19,5,-19,58,31,108,100,5,55,70,72,90,6550,-13200,-11500
561.0,2/16/15 5:00 PM,17,9.5,8.0,1.0,5.9,66,59,67,89,80,-12,-3,39,33,121,61,36,-36,3,-43,89,27,54,65,9,70,89,85,53,-492,-8960,-8420
562.0,2/16/15 7:00 PM,19,9.1,7.7,8.3,6.1,99,91,93,96,102,1,3,25,9,120,16,17,-40,3,-51,91,34,22,4,10,48,53,47,12,-1750,-332,-1450
563.0,2/16/15 9:00 PM,21,1.2,6.9,1.2,6.0,105,95,78,63,89,5,10,66,44,53,10,58,-11,4,-29,57,46,66,15,6,20,15,8,30,1630,8530,4900
