ID,longitude,latitude,PN,DN,WN,P,Date,Qyc,Qc,WQI,Wh1,HH,Wh2,XNM,Wh3,LL,Wh4,SL,Wh5,Wv1,PD,Wv2,WSCI,Wv3,DTR,Wv4,MDK,Wv5
X345,106.398,10.2657,Bến Tre,Châu Thành,Hữu Định,9819,11/9/2023,1178,796,54,0.48,-1.32,0.09,23,0.18,1.68,0.07,13,0.19,0.1,73,0.07,0.29,0.4,2810,0.25,14729,0.18
X346,106.702,10.2461,Tiền Giang,Tân Phú Đông,Phú Đông,2966,11/9/2023,356,20,53,0.48,0.36,0.09,16,0.18,3.36,0.07,20,0.19,0.1,10,0.07,0.07,0.4,193,0.25,4449,0.18
X347,106.34,10.2648,Bến Tre,Bến Tre,Sơn Đông,13786,11/9/2023,1654,413,54,0.48,0.45,0.09,8,0.18,3.45,0.07,13,0.19,0.1,129,0.07,0.02,0.4,234,0.25,20679,0.18
X348,106.451,10.1206,Bến Tre,Giồng Trôm,Tân Lợi Thạnh,7092,11/9/2023,851,932,55,0.48,-2.8,0.09,16,0.18,0.2,0.07,13,0.19,0.1,58,0.07,0.29,0.4,2061,0.25,10638,0.18
X349,106.095,10.1088,Vĩnh Long,Vũng Liêm,Tân An Luông,10033,11/9/2023,1204,1265,39,0.48,-0.26,0.09,10,0.18,2.74,0.07,13,0.19,0.1,60,0.07,0.15,0.4,1491,0.25,15050,0.18
X350,106.43,10.1033,Bến Tre,Giồng Trôm,Thạnh Phú Đông,9598,11/9/2023,1152,436,55,0.48,-0.24,0.09,24,0.18,2.76,0.07,15,0.19,0.1,44,0.07,0.52,0.4,5010,0.25,14397,0.18
X351,106.37,10.0983,Bến Tre,Mỏ Cày,Bình Khánh Tây,11887,11/9/2023,1426,537,56,0.48,0.36,0.09,30,0.18,3.36,0.07,9,0.19,0.1,212,0.07,0.14,0.4,1692,0.25,17831,0.18
X352,105.116,10.0736,Kiên Giang,Rạch Giá,Phi Thông,15584,11/9/2023,1870,13,35,0.48,0.45,0.09,4,0.18,3.45,0.07,9,0.19,0.1,34,0.07,0.05,0.4,752,0.25,23376,0.18
X353,105.96,10.0913,Vĩnh Long,Tam Bình,Mỹ Lộc,9073,11/9/2023,1089,411,68,0.48,-2.8,0.09,30,0.18,0.2,0.07,11,0.19,0.1,43,0.07,0.34,0.4,3123,0.25,13610,0.18
X354,106.663,10.0345,Bến Tre,Ba Tri,Bảo Thuận,8375,11/9/2023,1005,588,45,0.48,-0.26,0.09,0,0.18,2.74,0.07,17,0.19,0.1,32,0.07,0.26,0.4,2211,0.25,12563,0.18
X355,105.365,10.019,Kiên Giang,Giồng Riềng,Thạnh Phước,8435,11/9/2023,1012,337,51,0.48,-0.24,0.09,30,0.18,2.76,0.07,9,0.19,0.1,19,0.07,1.26,0.4,10597,0.25,12653,0.18
X356,106.514,10.0453,Bến Tre,Ba Tri,An Ngãi Tây,6040,11/9/2023,725,603,52,0.48,-2.8,0.09,24,0.18,0.2,0.07,17,0.19,0.1,41,0.07,0.67,0.4,4042,0.25,9060,0.18
X357,106.436,10.0455,Bến Tre,Thạnh Phú,Phú Khánh,5670,11/9/2023,680,491,54,0.48,0.45,0.09,0,0.18,3.45,0.07,20,0.19,0.1,41,0.07,0.77,0.4,4363,0.25,8505,0.18
X358,105.786,10.0525,Cần Thơ,Ninh Kiều,Cái Khế,22410,11/9/2023,2689,355,66,0.48,-2.8,0.09,4,0.18,0.2,0.07,15,0.19,0.1,319,0.07,0.01,0.4,254,0.25,33615,0.18
X359,106.021,10.0446,Vĩnh Long,Trà Ôn,Nhơn Bình,7560,11/9/2023,907,776,69,0.48,-0.24,0.09,0,0.18,2.76,0.07,15,0.19,0.1,43,0.07,0.53,0.4,4037,0.25,11340,0.18
X360,105.28,9.69095,Kiên Giang,Gò Quao,Vĩnh Phước A,8263,11/9/2023,992,9,47,0.48,0.45,0.09,24,0.18,3.45,0.07,5,0.19,0.1,19,0.07,0.37,0.4,3059,0.25,12395,0.18
X361,106.435,9.70402,Trà Vinh,Cầu Ngang,Thạch Hòa Sơn,10555,11/9/2023,1267,126,49,0.48,0.24,0.09,8,0.18,3.24,0.07,13,0.19,0.1,46,0.07,0.41,0.4,4364,0.25,15833,0.18
X362,105.241,9.63626,Kiên Giang,Vĩnh Thuận,Vĩnh Bình Bắc,14870,11/9/2023,1784,6,49,0.48,1.25,0.09,30,0.18,4.25,0.07,13,0.19,0.1,18,0.07,0.45,0.4,6651,0.25,22305,0.18
X363,106.491,9.64249,Trà Vinh,Duyên Hải,Long Toàn,5487,11/9/2023,658,305,49,0.48,0.36,0.09,16,0.18,3.36,0.07,23,0.19,0.1,11,0.07,0.1,0.4,538,0.25,8231,0.18
X364,105.661,9.21526,Bạc Liêu,Hòa Bình,Vĩnh Hậu,8906,11/9/2023,1069,585,43,0.48,-0.2,0.09,20,0.18,2.8,0.07,20,0.19,0.1,19,0.07,0.03,0.4,291,0.25,13359,0.18
X365,105.729,9.22934,Bạc Liêu,Bạc Liêu,Nhà Mát,11381,11/9/2023,1366,316,44,0.48,-0.15,0.09,0,0.18,2.85,0.07,50,0.19,0.1,73,0.07,0,0.4,36,0.25,17072,0.18
X366,104.979,10.5433,An Giang,Tịnh Biên,An Cư,10316,11/9/2023,1238,10,55,0.48,0.15,0.09,0,0.18,3.15,0.07,11,0.19,0.1,25,0.07,0.07,0.4,753,0.25,15474,0.18
X367,105.326,10.5705,An Giang,Phú Tân,Tân Hòa,7535,11/9/2023,904,13,59,0.48,0.35,0.09,0,0.18,3.35,0.07,9,0.19,0.1,75,0.07,0.04,0.4,338,0.25,11303,0.18
X368,105.232,10.5708,An Giang,Châu Phú,Châu Đốc,15264,11/9/2023,1832,13,62,0.48,0.25,0.09,1,0.18,3.25,0.07,13,0.19,0.1,238,0.07,0.04,0.4,623,0.25,22896,0.18
X369,106.264,10.5667,Tiền Giang,Tân Phước,Tân Hòa Đông,1890,11/9/2023,227,104,41,0.48,0.75,0.09,0,0.18,3.75,0.07,13,0.19,0.1,7,0.07,2.6,0.4,4917,0.25,2835,0.18
X370,104.933,10.5525,An Giang,Tịnh Biên,An Nông,4317,11/9/2023,518,8,56,0.48,1.25,0.09,6,0.18,4.25,0.07,13,0.19,0.1,14,0.07,0.3,0.4,1305,0.25,6476,0.18
X371,106.578,10.5607,Long An,Cần Đước,Tân Trạch,13565,11/9/2023,1628,779,49,0.48,0.36,0.09,8,0.18,3.36,0.07,20,0.19,0.1,97,0.07,0.06,0.4,813,0.25,20348,0.18
X372,106.542,10.5669,Long An,Cần Đước,Long Sơn,10487,11/9/2023,1258,597,47,0.48,0.25,0.09,0,0.18,3.25,0.07,18,0.19,0.1,78,0.07,0.24,0.4,2511,0.25,15731,0.18
X373,105.588,10.5395,Đồng Tháp,Cao Lãnh,Phong Mỹ,18920,11/9/2023,2270,98,57,0.48,0.75,0.09,30,0.18,3.75,0.07,28,0.19,0.1,65,0.07,0.05,0.4,935,0.25,28380,0.18
X374,106.646,10.5619,Long An,Cần Giuộc,Long An,9560,11/9/2023,1147,906,56,0.48,1.25,0.09,0,0.18,4.25,0.07,20,0.19,0.1,93,0.07,0.17,0.4,1607,0.25,14340,0.18
X375,106.208,10.5554,Tiền Giang,Tân Phước,Thạnh Mỹ,2459,11/9/2023,295,2,45,0.48,-0.2,0.09,8,0.18,2.8,0.07,9,0.19,0.1,8,0.07,0.66,0.4,1620,0.25,3689,0.18
X376,106.466,10.5665,Long An,Tân Trụ,Quê Mỹ Thạnh,6358,11/9/2023,763,172,40,0.48,-0.15,0.09,0,0.18,2.85,0.07,16,0.19,0.1,72,0.07,0.24,0.4,1520,0.25,9537,0.18
X377,106.162,10.5499,Tiền Giang,Tân Phước,Thạnh Tân,2441,11/9/2023,293,20,46,0.48,-1.5,0.09,0,0.18,1.5,0.07,7,0.19,0.1,8,0.07,1.39,0.4,3397,0.25,3662,0.18
X378,105.342,10.5615,An Giang,Phú Tân,Tân Trung,11100,11/9/2023,1332,12,59,0.48,-2.8,0.09,0,0.18,0.2,0.07,11,0.19,0.1,134,0.07,0.12,0.4,1320,0.25,16650,0.18
X379,106.121,10.5486,Tiền Giang,Tân Phước,Thạnh Hòa,1207,11/9/2023,145,20,49,0.48,-0.26,0.09,16,0.18,2.74,0.07,7,0.19,0.1,5,0.07,4.36,0.4,5260,0.25,1811,0.18
X380,106.607,10.5518,Long An,Cần Đước,Mỹ Lệ,13522,11/9/2023,1623,207,52,0.48,-1.32,0.09,0,0.18,1.68,0.07,16,0.19,0.1,110,0.07,0.09,0.4,1154,0.25,20283,0.18
X381,105.375,10.5467,An Giang,Chợ Mới,Kiến An,27859,11/9/2023,3343,56,58,0.48,-0.24,0.09,0,0.18,2.76,0.07,9,0.19,0.1,111,0.07,0.05,0.4,1470,0.25,41789,0.18
X382,105.039,10.5562,An Giang,Tịnh Biên,Vĩnh Trung,10097,11/9/2023,1212,69,56,0.48,0.36,0.09,8,0.18,3.36,0.07,7,0.19,0.1,41,0.07,0.22,0.4,2209,0.25,15146,0.18
X383,106.052,10.5469,Long An,Tân Thành,Tân Hòa,7960,11/9/2023,955,202,45,0.48,0.45,0.09,8,0.18,3.45,0.07,16,0.19,0.1,17,0.07,0.23,0.4,1822,0.25,11940,0.18
X384,106.394,10.5627,Long An,Tân An,Hướng Thọ Phú,6871,11/9/2023,825,180,25,0.48,-1.5,0.09,8,0.18,1.5,0.07,13,0.19,0.1,79,0.07,0.16,0.4,1100,0.25,10307,0.18
X385,106.446,10.5511,Long An,Tân An,Nhơn Thạnh Trung,8562,11/9/2023,1027,144,36,0.48,-1.32,0.09,0,0.18,1.68,0.07,13,0.19,0.1,99,0.07,0.03,0.4,246,0.25,12843,0.18
X386,105.23,10.5436,An Giang,Châu Phú,Bình Long,17993,11/9/2023,2159,22,60,0.48,-2.8,0.09,0,0.18,0.2,0.07,7,0.19,0.1,71,0.07,0.17,0.4,3085,0.25,26990,0.18
X387,105.492,10.5568,Đồng Tháp,Thanh Bình,Thanh Bình,11915,11/9/2023,1430,46,58,0.48,-2.8,0.09,0,0.18,0.2,0.07,7,0.19,0.1,155,0.07,0.02,0.4,202,0.25,17873,0.18
X388,105.16,10.5396,An Giang,Châu Phú,Thạnh Mỹ Tây,23081,11/9/2023,2770,37,59,0.48,-1.5,0.09,4,0.18,1.5,0.07,11,0.19,0.1,65,0.07,0.04,0.4,1033,0.25,34622,0.18
X389,106.425,10.5523,Long An,Tân An,5,12284,11/9/2023,1474,148,34,0.48,-1.5,0.09,0,0.18,1.5,0.07,20,0.19,0.1,194,0.07,0.04,0.4,502,0.25,18426,0.18
X390,106.319,10.5503,Tiền Giang,Tân Phước,Phú Mỹ,8257,11/9/2023,991,74,27,0.48,-0.26,0.09,4,0.18,2.74,0.07,7,0.19,0.1,62,0.07,0.12,0.4,993,0.25,12386,0.18
X391,106.392,10.5456,Long An,Tân An,6,15500,11/9/2023,1860,175,29,0.48,-1.5,0.09,8,0.18,1.5,0.07,20,0.19,0.1,210,0.07,0,0.4,16,0.25,23250,0.18
X392,106.483,10.5505,Long An,Tân Trụ,Lạc Tấn,3951,11/9/2023,474,280,43,0.48,-2.8,0.09,8,0.18,0.2,0.07,13,0.19,0.1,43,0.07,0.31,0.4,1240,0.25,5927,0.18
X393,106.518,10.5415,Long An,Tân Trụ,Bình Trinh Đông,6692,11/9/2023,803,212,48,0.48,-0.26,0.09,0,0.18,2.74,0.07,13,0.19,0.1,69,0.07,0.29,0.4,1923,0.25,10038,0.18
X394,105.624,10.5266,Đồng Tháp,Cao Lãnh,Tân Nghĩa,9481,11/9/2023,1138,4,57,0.48,0.36,0.09,30,0.18,3.36,0.07,16,0.19,0.1,39,0.07,0.03,0.4,312,0.25,14222,0.18
X395,106.658,10.5367,Long An,Cần Giuộc,Long Phụng,5443,11/9/2023,653,2132,56,0.48,0.45,0.09,0,0.18,3.45,0.07,20,0.19,0.1,67,0.07,0.08,0.4,417,0.25,8165,0.18
X396,105.282,10.5266,An Giang,Châu Phú,Bình Mỹ,24712,11/9/2023,2965,5,59,0.48,-2.8,0.09,0,0.18,0.2,0.07,16,0.19,0.1,69,0.07,0.07,0.4,1752,0.25,37068,0.18
X397,105.355,10.5139,An Giang,Chợ Mới,Mỹ Hội Đông,26698,11/9/2023,3204,59,58,0.48,-1.32,0.09,8,0.18,1.68,0.07,13,0.19,0.1,94,0.07,0.14,0.4,3735,0.25,40047,0.18
X398,106.365,10.5373,Long An,Tân An,Lợi Bình Nhơn,13642,11/9/2023,1637,153,27,0.48,-2.8,0.09,0,0.18,0.2,0.07,13,0.19,0.1,114,0.07,0.07,0.4,970,0.25,20463,0.18
X399,106.275,10.5311,Tiền Giang,Tân Phước,Hưng Thạnh,7336,11/9/2023,880,1,50,0.48,-0.26,0.09,0,0.18,2.74,0.07,7,0.19,0.1,22,0.07,0.11,0.4,795,0.25,11004,0.18
X400,105.842,10.5261,Đồng Tháp,Tháp Mười,Mỹ An,19257,11/9/2023,2311,20,52,0.48,0.45,0.09,30,0.18,3.45,0.07,30,0.19,0.1,105,0.07,0.02,0.4,354,0.25,28886,0.18
X401,106.676,10.5257,Long An,Cần Giuộc,Đông Thạnh,12293,11/9/2023,1475,943,58,0.48,-2.8,0.09,0,0.18,0.2,0.07,18,0.19,0.1,90,0.07,0.06,0.4,719,0.25,18440,0.18
X402,105.405,10.5467,An Giang,Chợ Mới,Chợ Mới,12896,11/9/2023,1548,33,58,0.48,-0.26,0.09,0,0.18,2.74,0.07,15,0.19,0.1,418,0.07,0.02,0.4,265,0.25,19344,0.18
X403,105.321,10.5247,An Giang,Châu Phú,Bình Thủy,17643,11/9/2023,2117,8,58,0.48,-1.32,0.09,0,0.18,1.68,0.07,11,0.19,0.1,113,0.07,0.07,0.4,1275,0.25,26465,0.18
X404,105.798,10.5275,Đồng Tháp,Tháp Mười,Mỹ Đông,7493,11/9/2023,899,20,51,0.48,0.45,0.09,0,0.18,3.45,0.07,30,0.19,0.1,27,0.07,0.09,0.4,638,0.25,11240,0.18
X405,105.063,10.5349,An Giang,Tịnh Biên,Núi Voi,5225,11/9/2023,627,7,55,0.48,-2.8,0.09,30,0.18,0.2,0.07,9,0.19,0.1,37,0.07,0.76,0.4,3950,0.25,7838,0.18
X406,106.715,10.5261,Long An,Cần Giuộc,Tân Tập,19950,11/9/2023,2394,1193,58,0.48,-1.32,0.09,16,0.18,1.68,0.07,18,0.19,0.1,68,0.07,0.04,0.4,840,0.25,29925,0.18
X407,106.55,10.5359,Long An,Tân Trụ,Tân Phước Tây,5948,11/9/2023,714,401,51,0.48,-0.24,0.09,0,0.18,2.76,0.07,16,0.19,0.1,46,0.07,0.11,0.4,654,0.25,8922,0.18
X408,105.455,10.5334,An Giang,Chợ Mới,Long Điền A,16538,11/9/2023,1985,95,58,0.48,0.36,0.09,0,0.18,3.36,0.07,9,0.19,0.1,91,0.07,0.04,0.4,581,0.25,24807,0.18
X409,105.915,10.5147,Đồng Tháp,Tháp Mười,Đốc Binh Kiều,11716,11/9/2023,1406,2,45,0.48,-2.8,0.09,0,0.18,0.2,0.07,30,0.19,0.1,34,0.07,0.05,0.4,528,0.25,17574,0.18
X410,104.879,10.5142,An Giang,Tri Tôn,Lạc Quới,3867,11/9/2023,464,4,53,0.48,-0.26,0.09,8,0.18,2.74,0.07,8,0.19,0.1,16,0.07,0.04,0.4,172,0.25,5801,0.18
X411,106.407,10.5411,Long An,Tân An,2,18853,11/9/2023,2262,172,33,0.48,-1.32,0.09,0,0.18,1.68,0.07,16,0.19,0.1,1344,0.07,0,0.4,92,0.25,28280,0.18
X412,105.121,10.4995,An Giang,Châu Phú,Đào Hữu Cảnh,14560,11/9/2023,1747,40,54,0.48,-0.24,0.09,0,0.18,2.76,0.07,11,0.19,0.1,27,0.07,0.04,0.4,644,0.25,21840,0.18
X413,105.511,10.5112,An Giang,Chợ Mới,Tấn Mỹ,21162,11/9/2023,2539,42,58,0.48,0.36,0.09,8,0.18,3.36,0.07,13,0.19,0.1,77,0.07,0.11,0.4,2382,0.25,31743,0.18
X414,106.476,10.5324,Long An,Tân Trụ,Bình Lãng,4434,11/9/2023,532,161,47,0.48,-2.8,0.09,16,0.18,0.2,0.07,13,0.19,0.1,54,0.07,0.14,0.4,641,0.25,6651,0.18
X415,106.628,10.5258,Long An,Cần Đước,Tân Lân,12250,11/9/2023,1470,290,54,0.48,-1.32,0.09,0,0.18,1.68,0.07,18,0.19,0.1,69,0.07,0.15,0.4,1781,0.25,18375,0.18
X416,106.318,10.5143,Tiền Giang,Tân Phước,Tân Hòa Thành,11141,11/9/2023,1337,20,40,0.48,-0.24,0.09,8,0.18,2.76,0.07,7,0.19,0.1,59,0.07,0.03,0.4,383,0.25,16712,0.18
X417,106.397,10.5269,Long An,Tân An,4,19657,11/9/2023,2359,114,36,0.48,0.36,0.09,8,0.18,3.36,0.07,16,0.19,0.1,353,0.07,0.02,0.4,462,0.25,29486,0.18
X418,106.415,10.5381,Long An,Tân An,1,13746,11/9/2023,1650,159,37,0.48,0.45,0.09,4,0.18,3.45,0.07,16,0.19,0.1,2045,0.07,0.02,0.4,267,0.25,20619,0.18
X419,106.492,10.5213,Long An,Tân Trụ,Bình Tịnh,5300,11/9/2023,636,202,50,0.48,-2.8,0.09,0,0.18,0.2,0.07,13,0.19,0.1,72,0.07,0.05,0.4,279,0.25,7950,0.18
X420,105.444,10.5148,An Giang,Chợ Mới,Long Điền B,20213,11/9/2023,2426,12,57,0.48,-0.26,0.09,0,0.18,2.74,0.07,9,0.19,0.1,113,0.07,0.03,0.4,586,0.25,30320,0.18
X421,105.866,10.5068,Đồng Tháp,Tháp Mười,Mỹ An,19257,11/9/2023,2311,20,53,0.48,-1.32,0.09,16,0.18,1.68,0.07,30,0.19,0.1,100,0.07,0.1,0.4,2018,0.25,28886,0.18
X422,104.629,10.498,Kiên Giang,Hà Tiên,Tân Khánh Hòa,6428,11/9/2023,771,1,64,0.48,0.36,0.09,0,0.18,3.36,0.07,7,0.19,0.1,13,0.07,0.18,0.4,1132,0.25,9642,0.18
X423,105.41,10.5116,An Giang,Chợ Mới,Kiến Thành,23055,11/9/2023,2767,109,58,0.48,0.45,0.09,0,0.18,3.45,0.07,7,0.19,0.1,102,0.07,0.11,0.4,2511,0.25,34583,0.18
X424,104.688,10.477,Kiên Giang,Hà Tiên,Vĩnh Điểu,9484,11/9/2023,1138,10,62,0.48,-2.8,0.09,0,0.18,0.2,0.07,8,0.19,0.1,9,0.07,0.52,0.4,4921,0.25,14226,0.18
X425,106.21,10.5066,Tiền Giang,Tân Phước,Mỹ Phước,6704,11/9/2023,804,20,52,0.48,-0.26,0.09,0,0.18,2.74,0.07,7,0.19,0.1,17,0.07,0.26,0.4,1760,0.25,10056,0.18
X426,105.176,10.4871,An Giang,Châu Phú,Bình Phú,9389,11/9/2023,1127,82,55,0.48,-0.24,0.09,0,0.18,2.76,0.07,7,0.19,0.1,20,0.07,0.54,0.4,5097,0.25,14084,0.18
X427,104.935,10.5026,An Giang,Tri Tôn,Lê Trì,5863,11/9/2023,704,17,55,0.48,0.36,0.09,0,0.18,3.36,0.07,11,0.19,0.1,22,0.07,0.02,0.4,96,0.25,8795,0.18
X428,105.969,10.5201,Tiền Giang,Cái Bè,Hậu Mỹ Bắc B,10449,11/9/2023,1254,4,45,0.48,0.45,0.09,0,0.18,3.45,0.07,15,0.19,0.1,52,0.07,0.07,0.4,713,0.25,15674,0.18
X429,105.541,10.5039,An Giang,Chợ Mới,Mỹ Hiệp,17668,11/9/2023,2120,60,57,0.48,-2.8,0.09,0,0.18,0.2,0.07,13,0.19,0.1,77,0.07,0.14,0.4,2547,0.25,26502,0.18
X430,106.013,10.4867,Tiền Giang,Cai Lậy,Mỹ Thành Bắc,8251,11/9/2023,990,20,50,0.48,-0.26,0.09,0,0.18,2.74,0.07,9,0.19,0.1,47,0.07,0.36,0.4,2973,0.25,12377,0.18
X431,106.036,10.4998,Tiền Giang,Cai Lậy,Thạnh Lộc,10670,11/9/2023,1280,20,49,0.48,-0.24,0.09,4,0.18,2.76,0.07,9,0.19,0.1,45,0.07,0.14,0.4,1521,0.25,16005,0.18
X432,106.456,10.5176,Long An,Châu Thành,Bình Quới,6541,11/9/2023,785,160,51,0.48,-2.8,0.09,0,0.18,0.2,0.07,13,0.19,0.1,93,0.07,0.51,0.4,3305,0.25,9812,0.18
X433,105.661,10.5127,Đồng Tháp,Cao Lãnh,Phương Trµ,10878,11/9/2023,1305,653,58,0.48,0.45,0.09,0,0.18,3.45,0.07,28,0.19,0.1,72,0.07,0.15,0.4,1648,0.25,16317,0.18
X434,105.235,10.494,An Giang,Châu Phú,Bình Chánh,9734,11/9/2023,1168,7,57,0.48,-2.8,0.09,8,0.18,0.2,0.07,15,0.19,0.1,30,0.07,0.5,0.4,4905,0.25,14601,0.18
X435,106.524,10.4944,Long An,Tân Trụ,Đức Tân,6277,11/9/2023,753,157,52,0.48,-0.24,0.09,2,0.18,2.76,0.07,16,0.19,0.1,47,0.07,0.47,0.4,2934,0.25,9416,0.18
X436,106.352,10.5104,Tiền Giang,Châu Thành,Tân Hội Đông,7978,11/9/2023,957,20,31,0.48,0.45,0.09,16,0.18,3.45,0.07,7,0.19,0.1,92,0.07,0.29,0.4,2346,0.25,11967,0.18
X437,106.604,10.5058,Long An,Cần Đước,Cần Đước,16699,11/9/2023,2004,320,53,0.48,0.24,0.09,0,0.18,3.24,0.07,20,0.19,0.1,288,0.07,0.01,0.4,143,0.25,25049,0.18
X438,106.072,10.495,Tiền Giang,Cai Lậy,Phú Cường,12371,11/9/2023,1485,20,50,0.48,-0.24,0.09,8,0.18,2.76,0.07,9,0.19,0.1,38,0.07,0.1,0.4,1236,0.25,18557,0.18
X439,106.513,10.5089,Long An,Tân Trụ,Tân Trụ,6242,11/9/2023,749,744,52,0.48,0.36,0.09,0,0.18,3.36,0.07,13,0.19,0.1,111,0.07,0.16,0.4,971,0.25,9363,0.18
X440,105.051,10.5074,An Giang,Tịnh Biên,Tân Lợi,9606,11/9/2023,1153,53,54,0.48,-2.8,0.09,8,0.18,0.2,0.07,13,0.19,0.1,31,0.07,0.22,0.4,2098,0.25,14409,0.18
X441,106.548,10.4934,Long An,Tân Trụ,Nhựt Ninh,16338,11/9/2023,1961,187,53,0.48,-1.32,0.09,0,0.18,1.68,0.07,13,0.19,0.1,113,0.07,0.26,0.4,4298,0.25,24507,0.18
X442,106.139,10.5036,Tiền Giang,Tân Phước,Tân Hòa Tây,4502,11/9/2023,540,20,51,0.48,-0.24,0.09,4,0.18,2.76,0.07,7,0.19,0.1,14,0.07,0.4,0.4,1790,0.25,6753,0.18
X443,106.406,10.5023,Long An,Tân An,An Vĩnh Ngãi,5574,11/9/2023,669,148,38,0.48,0.36,0.09,4,0.18,3.36,0.07,16,0.19,0.1,65,0.07,0.12,0.4,655,0.25,8361,0.18
X444,106.382,10.5012,Long An,Tân An,Khánh Hậu,7236,11/9/2023,868,33,37,0.48,0.45,0.09,0,0.18,3.45,0.07,16,0.19,0.1,67,0.07,0.09,0.4,675,0.25,10854,0.18
X445,104.818,10.4987,An Giang,Tri Tôn,Văn Giáo,7970,11/9/2023,956,1,61,0.48,-2.8,0.09,8,0.18,0.2,0.07,16,0.19,0.1,21,0.07,0.08,0.4,616,0.25,11955,0.18
X446,106.434,10.4983,Long An,Châu Thành,Hòa Phú,6435,11/9/2023,772,138,44,0.48,-0.26,0.09,0,0.18,2.74,0.07,14,0.19,0.1,70,0.07,0.18,0.4,1175,0.25,9653,0.18
X447,105.488,10.4946,An Giang,Chợ Mới,Mỹ Luông,16821,11/9/2023,2019,4,58,0.48,-1.32,0.09,0,0.18,1.68,0.07,18,0.19,0.1,178,0.07,0.04,0.4,730,0.25,25232,0.18
X448,106.268,10.4904,Tiền Giang,Tân Phước,Tân Lập 2,2743,11/9/2023,329,20,48,0.48,0.36,0.09,8,0.18,3.36,0.07,7,0.19,0.1,16,0.07,0.85,0.4,2320,0.25,4115,0.18
X449,106.485,10.4958,Long An,Châu Thành,Phú Ngãi Trị,11854,11/9/2023,1422,225,52,0.48,0.45,0.09,16,0.18,3.45,0.07,14,0.19,0.1,89,0.07,0.25,0.4,3012,0.25,17781,0.18
X450,106.702,10.4902,Long An,Cần Đước,Long Hựu Đông,17185,11/9/2023,2062,1651,57,0.48,-2.8,0.09,0,0.18,0.2,0.07,16,0.19,0.1,79,0.07,0.02,0.4,328,0.25,25778,0.18
X451,105.968,10.4868,Tiền Giang,Cái Bè,Hậu Mỹ Bắc A,14799,11/9/2023,1776,20,50,0.48,-0.26,0.09,0,0.18,2.74,0.07,18,0.19,0.1,55,0.07,0,0.4,54,0.25,22199,0.18
X452,105.796,10.4884,Đồng Tháp,Tháp Mười,Láng Biển,4369,11/9/2023,524,20,53,0.48,-0.24,0.09,0,0.18,2.76,0.07,30,0.19,0.1,17,0.07,0.59,0.4,2577,0.25,6554,0.18
X453,104.843,10.4557,An Giang,Tri Tôn,Ba Chúc,16342,11/9/2023,1961,2,58,0.48,0.36,0.09,0,0.18,3.36,0.07,10,0.19,0.1,30,0.07,0.33,0.4,5438,0.25,24513,0.18
X454,105.874,10.4706,Đồng Tháp,Tháp Mười,Phú Điền,12527,11/9/2023,1503,20,53,0.48,0.45,0.09,0,0.18,3.45,0.07,30,0.19,0.1,27,0.07,0.47,0.4,5888,0.25,18791,0.18
X455,105.618,10.4881,Đồng Tháp,Cao Lanh,Mỹ Tân,15014,11/9/2023,1802,185,58,0.48,-2.8,0.09,0,0.18,0.2,0.07,16,0.19,0.1,150,0.07,0.07,0.4,1086,0.25,22521,0.18
X456,105.32,10.4811,An Giang,Châu Thành,An Hòa,16377,11/9/2023,1965,21,57,0.48,-0.26,0.09,8,0.18,2.74,0.07,11,0.19,0.1,97,0.07,0.09,0.4,1446,0.25,24566,0.18
X457,106.446,10.4866,Long An,Châu Thành,Vĩnh Công,6924,11/9/2023,831,148,48,0.48,-0.24,0.09,24,0.18,2.76,0.07,18,0.19,0.1,85,0.07,0.22,0.4,1534,0.25,10386,0.18
X458,104.599,10.4653,Kiên Giang,Hà Tiên,Phú Lợi,4010,11/9/2023,481,8,62,0.48,-2.8,0.09,0,0.18,0.2,0.07,9,0.19,0.1,9,0.07,0.38,0.4,1540,0.25,6015,0.18
X459,105.399,10.4707,An Giang,Chợ Mới,Nhơn Mỹ,26554,11/9/2023,3186,143,57,0.48,0.45,0.09,2,0.18,3.45,0.07,9,0.19,0.1,86,0.07,0.13,0.4,3440,0.25,39831,0.18
X460,106.33,10.4764,Tiền Giang,Châu Thành,Tân Lý Đông,16884,11/9/2023,2026,20,54,0.48,-2.8,0.09,8,0.18,0.2,0.07,7,0.19,0.1,106,0.07,0.15,0.4,2560,0.25,25326,0.18
X461,106.565,10.4603,Long An,Châu Thành,Thuận Mỹ,11491,11/9/2023,1379,281,54,0.48,-0.24,0.09,0,0.18,2.76,0.07,18,0.19,0.1,52,0.07,0.13,0.4,1491,0.25,17237,0.18
X462,105.641,10.4849,Đồng Tháp,Cao Lanh,Mỹ Trà,8209,11/9/2023,985,20,58,0.48,0.45,0.09,0,0.18,3.45,0.07,16,0.19,0.1,108,0.07,0.22,0.4,1838,0.25,12314,0.18
X463,105.44,10.469,An Giang,Chợ Mới,Long Giang,18971,11/9/2023,2277,350,57,0.48,-1.5,0.09,8,0.18,1.5,0.07,15,0.19,0.1,100,0.07,0.11,0.4,2123,0.25,28457,0.18
X464,106.362,10.4814,Tiền Giang,Châu Thành,Tân Hương,27349,11/9/2023,3282,20,44,0.48,-2.8,0.09,0,0.18,0.2,0.07,13,0.19,0.1,244,0.07,0,0.4,10,0.25,41024,0.18
